athlete_id,data_Dorsal entregado,data_LICENCIA,data_Licencia,data_MEDALLA,data_TALLA,data_TIEMPO ESTIMADO,data_Tel̩fono emergencia,data_birthdate,data_club,data_document,data_e-mail,data_gender,data_name,data_nationality,data_pais,data_phone,data_statusNote,data_surname,event_id,issue_id,race_id,event_std
49BZBY64,,,,,,,,,,,,,,,,,,,independiente,06ed7860-ecfa-11ef-a611-573cf2988691,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
49BZBY64,,,,,,,,,,,,,,,,,,,independiente,06ed7860-ecfa-11ef-a611-573cf2988691,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
AZ917F58,,,,,,,,,,,,,,,,,,,independiente,a56a50e0-ebb9-11ef-857e-857793315446,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
AZ917F58,,,,,,,,,,,,,,,,,,,independiente,a56a50e0-ebb9-11ef-857e-857793315446,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
AZ917F58,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
AZ917F58,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
L9971723,,,,,,,,,,,,,,,,,,,independiente,8a3419a0-ec4a-11ef-9fcb-9397285a81ad,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
L9971723,,,,,,,,,,,,,,,,,,,independiente,8a3419a0-ec4a-11ef-9fcb-9397285a81ad,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
6C939Z1C,,,,,,,,,,,,,,,,,,,independiente,7d063ef0-eb7f-11ef-84aa-b74ff1cca6c7,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
6C939Z1C,,,,,,,,,,,,,,,,,,,independiente,7d063ef0-eb7f-11ef-84aa-b74ff1cca6c7,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
6C939Z1C,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
6C939Z1C,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
25B158D2,,,,,,,,,,,,,,,,,,,independiente,121b2160-ebc4-11ef-bfdc-57d02fbc330d,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
25B158D2,,,,,,,,,,,,,,,,,,,independiente,121b2160-ebc4-11ef-bfdc-57d02fbc330d,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
25B158D2,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
25B158D2,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
B5Y9C1FA,,,,,,,,,,,,,,,,,,,independiente,aeeccb20-eba5-11ef-b006-a1c518c43dca,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
B5Y9C1FA,,,,,,,,,,,,,,,,,,,independiente,aeeccb20-eba5-11ef-b006-a1c518c43dca,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
B5Y9C1FA,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
B5Y9C1FA,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
4DF98587,,,,,,,,,,,,,,,,,,,independiente,ee901530-ed3e-11ef-b3ea-8d2058c0628f,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
4DF98587,,,,,,,,,,,,,,,,,,,independiente,ee901530-ed3e-11ef-b3ea-8d2058c0628f,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
221478F9,,,,,,,,,,,,,,,,,,,independiente,eb434400-eba5-11ef-b006-a1c518c43dca,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
221478F9,,,,,,,,,,,,,,,,,,,independiente,eb434400-eba5-11ef-b006-a1c518c43dca,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
536Z51Y9,,,,,,,,,,,,,,,,,,,independiente,7b6e1930-eac3-11ef-8afb-cbbb7b07f27b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
536Z51Y9,,,,,,,,,,,,,,,,,,,independiente,7b6e1930-eac3-11ef-8afb-cbbb7b07f27b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
536Z51Y9,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
536Z51Y9,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
7C85A413,,,,,,,,,,,,,,,,,,,independiente,471e67a0-ebce-11ef-90f3-7fb351d97b78,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
7C85A413,,,,,,,,,,,,,,,,,,,independiente,471e67a0-ebce-11ef-90f3-7fb351d97b78,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
298856BZ,,,,,,,,,,,,,,,,,,,independiente,acdbecb0-ebca-11ef-9447-45909889f692,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
298856BZ,,,,,,,,,,,,,,,,,,,independiente,acdbecb0-ebca-11ef-9447-45909889f692,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
BA9BZ52F,,,,,,,,,,,,,,,,,,,independiente,ca420920-ec32-11ef-a9ce-21a37501454e,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
BA9BZ52F,,,,,,,,,,,,,,,,,,,independiente,ca420920-ec32-11ef-a9ce-21a37501454e,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
A5B9F172,,,,,,,,,,,,,,,,,,,independiente,385725d0-eb93-11ef-9b57-a1ba2d2bc810,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
A5B9F172,,,,,,,,,,,,,,,,,,,independiente,385725d0-eb93-11ef-9b57-a1ba2d2bc810,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
A5B9F172,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
A5B9F172,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
33C1423D,,,,,,,,,,,,,,,,,,,independiente,7f598520-eb7c-11ef-84aa-b74ff1cca6c7,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
33C1423D,,,,,,,,,,,,,,,,,,,independiente,7f598520-eb7c-11ef-84aa-b74ff1cca6c7,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
33C1423D,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
33C1423D,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
653B835B,,,,,,,,,,,,,,,,,,,independiente,637a55a0-eafa-11ef-8882-eb43ea3c6df6,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
653B835B,,,,,,,,,,,,,,,,,,,independiente,637a55a0-eafa-11ef-8882-eb43ea3c6df6,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
9Z81B367,,,,,,,,,,,,,,,,,,,independiente,172dada0-ebcc-11ef-9447-45909889f692,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
9Z81B367,,,,,,,,,,,,,,,,,,,independiente,172dada0-ebcc-11ef-9447-45909889f692,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
A6Z5246Y,,,,,,,,,,,,,,,,,,,independiente,85de9280-eb97-11ef-9b57-a1ba2d2bc810,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
A6Z5246Y,,,,,,,,,,,,,,,,,,,independiente,85de9280-eb97-11ef-9b57-a1ba2d2bc810,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
A6Z5246Y,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
A6Z5246Y,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
YZ6F8C15,,,,,,,,,,,,,,,,,,,independiente,4e933200-eb82-11ef-84aa-b74ff1cca6c7,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
YZ6F8C15,,,,,,,,,,,,,,,,,,,independiente,4e933200-eb82-11ef-84aa-b74ff1cca6c7,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
3CC948FF,,,,,,,,,,,,,,,,,,,independiente,c3e63570-eba5-11ef-b006-a1c518c43dca,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
3CC948FF,,,,,,,,,,,,,,,,,,,independiente,c3e63570-eba5-11ef-b006-a1c518c43dca,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
3CC948FF,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
3CC948FF,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
232DB9CY,,,,,,,,,,,,,,,,,,,independiente,7d160de0-ebb5-11ef-857e-857793315446,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
232DB9CY,,,,,,,,,,,,,,,,,,,independiente,7d160de0-ebb5-11ef-857e-857793315446,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
232DB9CY,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
232DB9CY,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
1643FF63,,,,,,,,,,,,,,,,,,,independiente,44ba3bb0-eb88-11ef-84aa-b74ff1cca6c7,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
1643FF63,,,,,,,,,,,,,,,,,,,independiente,44ba3bb0-eb88-11ef-84aa-b74ff1cca6c7,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
1643FF63,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
1643FF63,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
BZD3ZZA8,,,,,,,,,,,,,,,,,,,independiente,4cb6fa20-eb91-11ef-a9f4-ff6d000e19ea,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
BZD3ZZA8,,,,,,,,,,,,,,,,,,,independiente,4cb6fa20-eb91-11ef-a9f4-ff6d000e19ea,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
689F64F9,,,,,,,,,,,,,,,,,,,independiente,bac842d0-eb8c-11ef-84aa-b74ff1cca6c7,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
689F64F9,,,,,,,,,,,,,,,,,,,independiente,bac842d0-eb8c-11ef-84aa-b74ff1cca6c7,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
52Z378F9,,,,,,,,,,,,,,,,,,,independiente,5d669e60-ea34-11ef-bfc8-cd113cc67c17,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
52Z378F9,,,,,,,,,,,,,,,,,,,independiente,5d669e60-ea34-11ef-bfc8-cd113cc67c17,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
A7646D7F,,,,,,,,,,,,,,,,,,,independiente,de6ba2f0-ebc7-11ef-8c6a-9930e307894f,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
A7646D7F,,,,,,,,,,,,,,,,,,,independiente,de6ba2f0-ebc7-11ef-8c6a-9930e307894f,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
A7646D7F,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
A7646D7F,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
D858B35Z,,,,,,,,,,,,,,,,,,,independiente,4ddc6c50-edcb-11ef-9a74-e7cec2255f28,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
D858B35Z,,,,,,,,,,,,,,,,,,,independiente,4ddc6c50-edcb-11ef-9a74-e7cec2255f28,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
F5DA94ZB,,,,,,,,,,,,,,,,,,,independiente,28828450-eba8-11ef-9348-77484ee32e31,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
F5DA94ZB,,,,,,,,,,,,,,,,,,,independiente,28828450-eba8-11ef-9348-77484ee32e31,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
5Z8AZY57,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
5Z8AZY57,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
YAZ5DB6Y,,,,,,,,,,,,,,,,,,,independiente,f9c2d040-eba5-11ef-b006-a1c518c43dca,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
YAZ5DB6Y,,,,,,,,,,,,,,,,,,,independiente,f9c2d040-eba5-11ef-b006-a1c518c43dca,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
YAZ5DB6Y,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
YAZ5DB6Y,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
365A5739,,,,,,,,,,,,,,,,,,,independiente,d1cec4c0-eb98-11ef-9b57-a1ba2d2bc810,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
365A5739,,,,,,,,,,,,,,,,,,,independiente,d1cec4c0-eb98-11ef-9b57-a1ba2d2bc810,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
3C658YAF,,,,,,,,,,,,,,,,,,,independiente,590760a0-ebad-11ef-8b8d-1d7ed36ac8df,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
3C658YAF,,,,,,,,,,,,,,,,,,,independiente,590760a0-ebad-11ef-8b8d-1d7ed36ac8df,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
1FY32A92,,,,,,,,,,,,,,,,,,,independiente,b3828130-ea37-11ef-97cd-25151eb901c3,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
1FY32A92,,,,,,,,,,,,,,,,,,,independiente,b3828130-ea37-11ef-97cd-25151eb901c3,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
1FY32A92,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
1FY32A92,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
72Z978D6,,,,,,,,,,,,,,,,,,,independiente,59ab1370-ec99-11ef-bc86-f1d143f42498,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
72Z978D6,,,,,,,,,,,,,,,,,,,independiente,59ab1370-ec99-11ef-bc86-f1d143f42498,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
D2D15YF7,,,,,,,,,,,,,,,,,,,independiente,2cfdb590-ee00-11ef-bfbe-2f1b96994333,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
D2D15YF7,,,,,,,,,,,,,,,,,,,independiente,2cfdb590-ee00-11ef-bfbe-2f1b96994333,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
1394ZY81,,,,,,,,,,,,,,,,,,,independiente,93332110-ecfc-11ef-a4b6-87c83cf8fa68,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
1394ZY81,,,,,,,,,,,,,,,,,,,independiente,93332110-ecfc-11ef-a4b6-87c83cf8fa68,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
CA6YB71Z,,,,,,,,,,,,,,,,,,,independiente,b0cab060-ecf9-11ef-a611-573cf2988691,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
CA6YB71Z,,,,,,,,,,,,,,,,,,,independiente,b0cab060-ecf9-11ef-a611-573cf2988691,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
81DY367C,,,,,,,,,,,,,,,,,,,independiente,235bd840-eafa-11ef-8882-eb43ea3c6df6,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
81DY367C,,,,,,,,,,,,,,,,,,,independiente,235bd840-eafa-11ef-8882-eb43ea3c6df6,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
81DY367C,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
81DY367C,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
79Z432AB,,,,,,,,,,,,,,,,,,,independiente,05138cf0-ebb5-11ef-a5ce-ddebb5ff7c64,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
79Z432AB,,,,,,,,,,,,,,,,,,,independiente,05138cf0-ebb5-11ef-a5ce-ddebb5ff7c64,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
79Z432AB,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
79Z432AB,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
715Z5F43,,,,,,,,,,,,,,,,,,,independiente,824603a0-ebb1-11ef-a008-a5fe2469812c,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
715Z5F43,,,,,,,,,,,,,,,,,,,independiente,824603a0-ebb1-11ef-a008-a5fe2469812c,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
715Z5F43,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
715Z5F43,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
72A1Y779,,,,,,,,,,,,,,,,,,,independiente,92ed9110-eb92-11ef-a9f4-ff6d000e19ea,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
72A1Y779,,,,,,,,,,,,,,,,,,,independiente,92ed9110-eb92-11ef-a9f4-ff6d000e19ea,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
9DA49493,,,,,,,,,,,,,,,,,,,independiente,db57c650-eb92-11ef-a9f4-ff6d000e19ea,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
9DA49493,,,,,,,,,,,,,,,,,,,independiente,db57c650-eb92-11ef-a9f4-ff6d000e19ea,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
9DA49493,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
9DA49493,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
BA2BD916,,,,,,,,,,,,,,,,,,,independiente,7def3a40-eacd-11ef-9ea9-19ea7ebb1d65,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
BA2BD916,,,,,,,,,,,,,,,,,,,independiente,7def3a40-eacd-11ef-9ea9-19ea7ebb1d65,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
D93Y45D1,,,,,,,,,,,,,,,,,,,independiente,0fee2cf0-eacc-11ef-ae70-0f42de154017,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
D93Y45D1,,,,,,,,,,,,,,,,,,,independiente,0fee2cf0-eacc-11ef-ae70-0f42de154017,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
D93Y45D1,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
D93Y45D1,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
Z2C4C674,,,,,,,,,,,,,,,,,,,independiente,2ceb4df0-ebae-11ef-a470-81565d853445,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
Z2C4C674,,,,,,,,,,,,,,,,,,,independiente,2ceb4df0-ebae-11ef-a470-81565d853445,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
Z2C4C674,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
Z2C4C674,,,,,,,,,,,,,,,,,,,independiente,011a07a0-ebf6-11ef-8095-059bd7ae350b,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
8B5D27YC,,,,,,,,,,,,,,,,,,,independiente,6b4cd920-eaea-11ef-9af8-d3d6c74c8766,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
8B5D27YC,,,,,,,,,,,,,,,,,,,independiente,6b4cd920-eaea-11ef-9af8-d3d6c74c8766,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
899F1YFZ,,,,,,,,,,,,,,,,,,,independiente,8f7a0250-eadb-11ef-be08-41615647ef00,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
899F1YFZ,,,,,,,,,,,,,,,,,,,independiente,8f7a0250-eadb-11ef-be08-41615647ef00,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
2FZDFY1D,,,,,,,,,,,,,,,,,,,independiente,ba7ba140-ebbf-11ef-a509-e9af974e068d,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
2FZDFY1D,,,,,,,,,,,,,,,,,,,independiente,ba7ba140-ebbf-11ef-a509-e9af974e068d,b228b93e-2a15-4123-baf9-ca0915165c6a,independiente
81989c73-c3c2-55f9-b783-6a88a7a39640,,,,,,,,,,,,,,,,,,,independiente,da1c90d0-27e3-11f0-866b-ed3dac696fe6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,independiente
81989c73-c3c2-55f9-b783-6a88a7a39640,,,,,,,,,,,,,,,,,,,independiente,da1c90d0-27e3-11f0-866b-ed3dac696fe6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,independiente
f9e8ec91-1b37-519e-8e99-611af7935d13,,,,,,,,,,,,,,,,,,,independiente,22d8f140-2782-11f0-86fd-716e7502dc27,78a14be0-36cc-4ce4-bb5a-b81744a7390e,independiente
f9e8ec91-1b37-519e-8e99-611af7935d13,,,,,,,,,,,,,,,,,,,independiente,22d8f140-2782-11f0-86fd-716e7502dc27,78a14be0-36cc-4ce4-bb5a-b81744a7390e,independiente
511301d5-042d-5659-a1cf-c60c69691c0e,,,,,,,,,,,,,,,,,,,independiente,cc022490-265a-11f0-82e6-d96d735b9897,78a14be0-36cc-4ce4-bb5a-b81744a7390e,independiente
511301d5-042d-5659-a1cf-c60c69691c0e,,,,,,,,,,,,,,,,,,,independiente,cc022490-265a-11f0-82e6-d96d735b9897,78a14be0-36cc-4ce4-bb5a-b81744a7390e,independiente
d45dc5e0-486f-58f9-87d2-7d05e42fa831,,,,,,,,,,,,,,,,,,,independiente,e5e69fa0-29c8-11f0-940f-45d3c9c1a3c5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,independiente
d45dc5e0-486f-58f9-87d2-7d05e42fa831,,,,,,,,,,,,,,,,,,,independiente,e5e69fa0-29c8-11f0-940f-45d3c9c1a3c5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,independiente
31266c56-3539-5c16-ad4a-c929f90e9afb,,,,,,,,,,,,,,,,,,,independiente,be259a10-2852-11f0-8c91-072c39e64e95,78a14be0-36cc-4ce4-bb5a-b81744a7390e,independiente
31266c56-3539-5c16-ad4a-c929f90e9afb,,,,,,,,,,,,,,,,,,,independiente,be259a10-2852-11f0-8c91-072c39e64e95,78a14be0-36cc-4ce4-bb5a-b81744a7390e,independiente
58e5141d-141d-5b64-ae8b-3cbdac4997b9,,,,,,,,,,,,,,,,,,,independiente,55889da0-29c8-11f0-940f-45d3c9c1a3c5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,independiente
